지점,지점명,일시,합계 일사량(MJ/m2),위도,경도
177,홍성,24-7,461.43,36.65759,126.68772
177,홍성,24-8,576.94,36.65759,126.68772
177,홍성,24-9,451.91,36.65759,126.68772
177,홍성,24-10,341.06,36.65759,126.68772
177,홍성,24-11,278.25,36.65759,126.68772
181,서청주,23-11,294.61,36.63994,127.38458
181,서청주,23-12,223,36.63994,127.38458
181,서청주,24-1,260.59,36.63994,127.38458
181,서청주,24-2,251.04,36.63994,127.38458
181,서청주,24-3,477.89,36.63994,127.38458
181,서청주,24-4,536.17,36.63994,127.38458
181,서청주,24-5,714.54,36.63994,127.38458
181,서청주,24-6,708.86,36.63994,127.38458
181,서청주,24-7,496.45,36.63994,127.38458
181,서청주,24-8,648.65,36.63994,127.38458
181,서청주,24-9,447.35,36.63994,127.38458
181,서청주,24-10,332.83,36.63994,127.38458
181,서청주,24-11,298.11,36.63994,127.38458
184,제주,23-11,238.2,33.51411,126.52969
184,제주,23-12,148.86,33.51411,126.52969
184,제주,24-1,176.86,33.51411,126.52969
184,제주,24-2,152.32,33.51411,126.52969
184,제주,24-3,409.42,33.51411,126.52969
184,제주,24-4,417.26,33.51411,126.52969
184,제주,24-5,677.83,33.51411,126.52969
184,제주,24-6,477.43,33.51411,126.52969
184,제주,24-7,554.79,33.51411,126.52969
184,제주,24-8,632.4,33.51411,126.52969
184,제주,24-9,442.14,33.51411,126.52969
184,제주,24-10,262.58,33.51411,126.52969
184,제주,24-11,237.93,33.51411,126.52969
185,고산,23-11,291.43,33.29382,126.16283
185,고산,23-12,187.1,33.29382,126.16283
185,고산,24-1,238.77,33.29382,126.16283
185,고산,24-2,214.79,33.29382,126.16283
185,고산,24-3,424.11,33.29382,126.16283
185,고산,24-4,461.09,33.29382,126.16283
185,고산,24-5,689.65,33.29382,126.16283
185,고산,24-6,472.42,33.29382,126.16283
185,고산,24-7,509.22,33.29382,126.16283
185,고산,24-8,686.08,33.29382,126.16283
185,고산,24-9,557.96,33.29382,126.16283
185,고산,24-10,391.45,33.29382,126.16283
185,고산,24-11,314.95,33.29382,126.16283
189,서귀포,24-4,354.18,33.24616,126.5653
189,서귀포,24-5,668.73,33.24616,126.5653
189,서귀포,24-6,448.08,33.24616,126.5653
189,서귀포,24-7,408.43,33.24616,126.5653
189,서귀포,24-8,630.73,33.24616,126.5653
189,서귀포,24-9,525.36,33.24616,126.5653
189,서귀포,24-10,377.22,33.24616,126.5653
189,서귀포,24-11,300.94,33.24616,126.5653
192,진주,23-11,347.9,35.16378,128.04004
192,진주,23-12,281.75,35.16378,128.04004
192,진주,24-1,330.49,35.16378,128.04004
192,진주,24-2,282.13,35.16378,128.04004
192,진주,24-3,485.03,35.16378,128.04004
192,진주,24-4,477.73,35.16378,128.04004
192,진주,24-5,729.93,35.16378,128.04004
192,진주,24-6,615.51,35.16378,128.04004
192,진주,24-7,510.84,35.16378,128.04004
192,진주,24-8,672.37,35.16378,128.04004
192,진주,24-9,480.33,35.16378,128.04004
192,진주,24-10,373.15,35.16378,128.04004
192,진주,24-11,308.49,35.16378,128.04004
216,태백,24-4,177.75,37.17038,128.98929
216,태백,24-5,677.7,37.17038,128.98929
216,태백,24-6,638.7,37.17038,128.98929
216,태백,24-7,474.72,37.17038,128.98929
216,태백,24-8,528.49,37.17038,128.98929
216,태백,24-9,375.41,37.17038,128.98929
216,태백,24-10,180.8,37.17038,128.98929
216,태백,24-11,7.07,37.17038,128.98929
235,보령,24-3,390.15,36.32724,126.55744
235,보령,24-4,515.68,36.32724,126.55744
235,보령,24-5,685.37,36.32724,126.55744
235,보령,24-6,675.72,36.32724,126.55744
235,보령,24-7,469.05,36.32724,126.55744
235,보령,24-8,632.79,36.32724,126.55744
235,보령,24-9,491.71,36.32724,126.55744
235,보령,24-10,337.34,36.32724,126.55744
235,보령,24-11,295.69,36.32724,126.55744
239,세종,23-11,285.43,36.48522,127.24438
239,세종,23-12,213.06,36.48522,127.24438
239,세종,24-1,257.04,36.48522,127.24438
239,세종,24-2,250.71,36.48522,127.24438
239,세종,24-3,462.96,36.48522,127.24438
239,세종,24-4,521.87,36.48522,127.24438
239,세종,24-5,704.92,36.48522,127.24438
239,세종,24-6,679.58,36.48522,127.24438
239,세종,24-7,474.31,36.48522,127.24438
239,세종,24-8,607.05,36.48522,127.24438
239,세종,24-9,480.1,36.48522,127.24438
239,세종,24-10,314.76,36.48522,127.24438
239,세종,24-11,292.93,36.48522,127.24438
245,정읍,24-3,59.9,35.56337,126.83904
245,정읍,24-4,504.98,35.56337,126.83904
245,정읍,24-5,659.81,35.56337,126.83904
245,정읍,24-6,583.89,35.56337,126.83904
245,정읍,24-7,414.88,35.56337,126.83904
245,정읍,24-8,608.55,35.56337,126.83904
245,정읍,24-9,489.44,35.56337,126.83904
245,정읍,24-10,346.38,35.56337,126.83904
245,정읍,24-11,293.48,35.56337,126.83904
251,고창군,23-11,278.41,35.42661,126.697
251,고창군,23-12,191.38,35.42661,126.697
251,고창군,24-1,260.32,35.42661,126.697
251,고창군,24-2,257.1,35.42661,126.697
251,고창군,24-3,449.58,35.42661,126.697
251,고창군,24-4,509.4,35.42661,126.697
251,고창군,24-5,707.34,35.42661,126.697
251,고창군,24-6,607.9,35.42661,126.697
251,고창군,24-7,489.46,35.42661,126.697
251,고창군,24-8,618.06,35.42661,126.697
251,고창군,24-9,476.4,35.42661,126.697
251,고창군,24-10,355.14,35.42661,126.697
251,고창군,24-11,290.91,35.42661,126.697
252,영광군,23-11,264.78,35.28366,126.47784
252,영광군,23-12,162.98,35.28366,126.47784
252,영광군,24-1,261.24,35.28366,126.47784
252,영광군,24-2,248.22,35.28366,126.47784
252,영광군,24-3,448.54,35.28366,126.47784
252,영광군,24-4,503.34,35.28366,126.47784
252,영광군,24-5,695,35.28366,126.47784
252,영광군,24-6,583.2,35.28366,126.47784
252,영광군,24-7,508.75,35.28366,126.47784
252,영광군,24-8,617.4,35.28366,126.47784
252,영광군,24-9,509.59,35.28366,126.47784
252,영광군,24-10,357.56,35.28366,126.47784
